STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       3591;19931101;19931130;   10;  4.48;   1.20;    4.00;   -1.30;    1.90;-999;-999;-999;-999;    9;    53.4;   37.8;eor
       3591;19931201;19931231;   10;  6.56;   3.80;    6.00;    1.40;    3.80;-999;-999;-999;-999;    9;   187.6;   31.8;eor
       3591;19940101;19940131;   10;  5.65;   3.49;    5.91;    1.00;    3.69;  11.5;-999;  -4.9;-999;    9;   102.3;   18.4;eor
       3591;19940201;19940228;   10;  5.51;   1.39;    4.17;   -1.68;    2.72;  12.3;-999; -12.1;-999;    9;    26.4;    8.2;eor
       3591;19940301;19940331;   10;  5.34;   6.65;   10.15;    3.18;    3.86;  17.9;-999;  -2.0;-999;    9;   109.4;   19.3;eor
       3591;19940401;19940430;   10;  5.12;   7.39;   11.17;    3.63;    3.17;  22.0;-999;  -2.3;-999;    9;    51.6;   11.1;eor
       3591;19940501;19940531;   10;  5.41;  11.70;   15.42;    7.30;    2.27;  20.4;-999;  -0.4;-999;    9;    52.4;   13.6;eor
       3591;19940601;19940630;   10;  4.86;  15.67;   19.72;   10.83;    3.11;  28.2;-999;   5.0;-999;    9;    44.6;   19.6;eor
       3591;19940701;19940731;   10;  4.02;  21.49;   26.13;   15.56;    2.22;  32.2;-999;   9.7;-999;    9;    17.4;   11.1;eor
       3591;19940801;19940831;   10;  4.95;  17.25;   21.55;   12.70;    2.75;  34.6;-999;   6.0;-999;    9;    89.1;   23.5;eor
       3591;19940901;19940930;   10;  5.72;  12.74;   16.20;    9.56;    3.07;  22.0;-999;   5.8;-999;    9;    85.6;   14.5;eor
       3591;19941001;19941031;   10;  4.32;   8.79;   12.79;    4.94;    2.85;  19.3;-999;  -2.0;-999;    9;    48.0;   19.8;eor
       3591;19941101;19941130;   10;  5.86;   9.05;   11.58;    6.51;    2.69;  18.8;-999;   0.3;-999;    9;    66.0;   23.2;eor
       3591;19941201;19941231;   10;  5.00;   4.66;    6.81;    1.98;    3.55;  12.0;-999;  -7.7;-999;    9;    94.1;   23.9;eor
       3591;19950101;19950131;   10;  5.81;   1.99;    4.54;   -0.96;    3.55;  11.1;-999;  -9.1;-999;    9;   170.6;   30.2;eor
       3591;19950201;19950228;   10;  5.63;   5.28;    7.63;    2.37;    3.87;  12.2;-999;  -3.1;-999;    9;    69.6;   14.1;eor
       3591;19950301;19950331;   10;  4.57;   3.67;    7.23;    0.27;    3.35;  15.5;-999;  -3.2;-999;    9;    82.3;   10.0;eor
       3591;19950401;19950430;   10;  6.08;   8.24;   11.87;    4.16;    2.82;  20.5;-999;  -2.4;-999;    9;    59.7;   13.9;eor
       3591;19950501;19950531;   10;  4.70;  12.42;   16.64;    6.82;    2.53;  24.6;-999;   0.9;-999;    9;    33.2;    6.6;eor
       3591;19950601;19950630;   10;  5.34;  13.97;   17.79;    9.23;    2.70;  27.2;-999;   4.8;-999;    9;    66.4;   17.6;eor
       3591;19950701;19950731;   10;  3.84;  20.44;   25.14;   14.19;    2.25;  34.0;-999;   8.4;-999;    9;    65.4;   28.8;eor
       3591;19950801;19950831;   10;  3.62;  18.77;   23.27;   12.65;    2.05;  29.9;-999;   6.3;-999;    9;    48.8;   26.7;eor
       3591;19950901;19950930;   10;  5.55;  12.73;   16.33;    9.66;    2.86;  20.0;-999;   2.7;-999;    9;    54.3;   13.8;eor
       3591;19951001;19951031;   10;  4.73;  13.02;   16.83;    9.59;    2.37;  25.5;-999;   0.6;-999;    9;    21.5;    5.0;eor
       3591;19951101;19951130;   10;  5.08;   5.54;    8.22;    2.72;    2.35;  16.5;-999;  -6.5;-999;    9;    68.8;   16.3;eor
       3591;19951201;19951231;   10;  6.18;  -0.45;    1.85;   -3.23;    2.07;  10.2;-999; -12.3;-999;    9;    44.3;   11.9;eor
       3591;19960101;19960131;   10;  5.03;   0.33;    2.95;   -2.40;    2.44;  12.5;-999; -10.7;-999;    9;     5.4;    2.0;eor
       3591;19960201;19960229;   10;  6.42;  -0.57;    1.70;   -2.90;    2.60;   9.6;-999;  -9.0;-999;    9;    73.0;   20.8;eor
       3591;19960301;19960331;   10;  5.12;   2.00;    5.36;   -1.71;    2.19;  12.5;-999;  -8.9;-999;    9;    32.8;   11.6;eor
       3591;19960401;19960430;   10;  4.00;   8.81;   13.24;    3.40;    2.15;  23.5;-999;  -4.5;-999;    9;    10.0;    4.5;eor
       3591;19960501;19960531;   10;  6.37;   9.99;   13.43;    5.75;    2.35;  25.9;-999;  -2.0;-999;    9;    66.8;   10.1;eor
       3591;19960601;19960630;   10;  4.41;  15.37;   19.33;    9.72;    2.18;  31.5;-999;   5.3;-999;    9;    24.5;    5.3;eor
       3591;19960701;19960731;   10;  4.93;  15.79;   19.84;   11.41;    2.38;  26.8;-999;   5.9;-999;    9;    49.9;   15.6;eor
       3591;19960801;19960831;   10;  4.20;  16.45;   20.83;   11.95;    2.12;  29.4;-999;   6.9;-999;    9;   124.9;   33.2;eor
       3591;19960901;19960930;   10;  5.22;  11.07;   14.25;    7.29;    2.24;  19.0;-999;   3.2;-999;    9;    43.0;   10.2;eor
       3591;19961001;19961031;   10;  5.00;   9.70;   13.33;    6.66;    2.46;  20.2;-999;   1.6;-999;    9;    69.1;   24.1;eor
       3591;19961101;19961130;   10;  6.10;   4.37;    6.23;    2.45;    2.94;  12.9;-999;  -2.6;-999;    9;    64.6;   12.2;eor
       3591;19961201;19961231;   10;  5.71;  -0.96;    1.38;   -3.45;    1.96;   9.7;-999; -13.7;-999;    9;    42.9;    8.3;eor
       3591;19970101;19970131;   10;  5.23;  -1.16;    1.67;   -4.11;    1.74;  12.4;-999; -17.3;-999;    9;     4.1;    1.8;eor
       3591;19970201;19970228;   10;  6.08;   5.14;    7.75;    2.32;    3.40;  14.4;-999;  -4.1;-999;    9;   124.7;   24.7;eor
       3591;19970301;19970331;   10;  5.24;   7.28;   11.01;    3.89;    2.23;  17.2;-999;  -1.5;-999;    9;    45.0;    7.1;eor
       3591;19970401;19970430;   10;  4.74;   6.56;   10.54;    1.74;    2.20;  15.6;-999;  -5.0;-999;    9;    75.6;   19.0;eor
       3591;19970501;19970531;   10;  4.70;  11.90;   16.12;    7.11;    2.45;  26.0;-999;   0.3;-999;    9;    94.2;   35.8;eor
       3591;19970601;19970630;   10;  5.00;  14.87;   18.76;   10.26;    2.28;  27.6;-999;   4.4;-999;    9;    96.2;   25.1;eor
       3591;19970701;19970731;   10;  5.33;  16.05;   20.06;   12.09;    1.94;  26.3;-999;   9.9;-999;    9;   146.2;   64.3;eor
       3591;19970801;19970831;   10;  3.55;  19.85;   24.38;   14.60;    1.70;  31.0;-999;  11.3;-999;    9;    26.3;    9.6;eor
       3591;19970901;19970930;   10;  3.73;  13.63;   18.72;    9.56;    1.82;  24.5;-999;   1.4;-999;    9;    25.5;   20.0;eor
       3591;19971001;19971031;   10;  4.48;   8.48;   12.43;    5.37;    2.39;  22.9;-999;  -4.2;-999;    9;    74.3;   31.5;eor
       3591;19971101;19971130;   10;  4.69;   5.75;    9.02;    2.94;    2.37;  14.4;-999;  -3.1;-999;    9;    34.6;   10.5;eor
       3591;19971201;19971231;   10;  6.28;   3.39;    5.64;    1.06;    2.87;  12.4;-999;  -7.3;-999;    9;    79.6;   13.1;eor
       3591;19980101;19980131;   10;  5.20;   3.07;    5.41;    0.81;    3.10;  13.1;-999; -10.5;-999;    9;    74.8;   12.8;eor
       3591;19980201;19980228;   10;  4.66;   5.76;    9.58;    2.17;    2.73;  18.0;-999; -11.7;-999;    9;    12.3;    5.4;eor
       3591;19980301;19980331;   10;  6.05;   5.86;    9.06;    2.51;    2.80;  22.1;-999;  -5.6;-999;    9;    94.9;   18.8;eor
       3591;19980401;19980430;   10;  5.77;   7.86;   11.38;    5.18;    2.66;  21.9;-999;  -0.5;-999;    9;    82.2;   18.8;eor
       3591;19980501;19980531;   10;  4.69;  14.13;   18.13;    9.28;    2.25;  27.7;-999;   2.6;-999;    9;    55.1;   21.5;eor
       3591;19980601;19980630;   10;  5.20;  15.72;   20.08;   11.52;    2.56;  31.7;-999;   3.3;-999;    9;    83.3;   25.6;eor
       3591;19980701;19980731;   10;  5.79;  15.47;   19.47;   11.72;    2.71;  31.6;-999;   8.1;-999;    9;    37.7;   10.5;eor
       3591;19980801;19980831;   10;  4.25;  16.89;   21.58;   11.84;    2.04;  34.5;-999;   8.1;-999;    9;    55.6;   22.0;eor
       3591;19980901;19980930;   10;  5.51;  13.87;   17.18;   11.18;    2.73;  21.4;-999;   5.4;-999;    9;   152.2;   40.0;eor
       3591;19981001;19981031;   10;  6.08;   8.38;   11.14;    5.97;    3.26;  16.0;-999;   0.6;-999;    9;   162.4;   28.4;eor
       3591;19981101;19981130;   10;  5.30;   2.17;    5.11;   -0.02;    2.64;  14.0;-999;  -9.6;-999;    9;    74.6;   14.0;eor
       3591;19981201;19981231;   10;  6.15;   3.28;    5.45;    0.95;    3.24;  13.5;-999;  -5.6;-999;    9;    46.1;    7.4;eor
       3591;19990101;19990131;   10;  5.79;   3.98;    6.42;    1.65;    3.49;  14.0;-999;  -8.5;-999;    9;   109.7;   15.2;eor
       3591;19990201;19990228;   10;  6.23;   1.14;    3.67;   -1.27;    2.84;   8.8;-999; -12.4;-999;    9;   132.3;   30.6;eor
       3591;19990301;19990331;   10;  5.52;   6.25;    9.80;    3.06;    2.51;  17.7;-999;  -2.2;-999;    9;    60.6;   13.8;eor
       3591;19990401;19990430;   10;  4.96;   8.61;   12.79;    5.07;    2.30;  19.0;-999;  -1.7;-999;    9;    78.9;   15.2;eor
       3591;19990501;19990531;   10;  4.58;  13.68;   18.14;    8.85;    2.44;  28.0;-999;   1.6;-999;    9;    58.3;   26.0;eor
       3591;19990601;19990630;   10;  4.48;  14.77;   18.78;    9.78;    2.33;  27.0;-999;   5.5;-999;    9;    59.9;   16.6;eor
       3591;19990701;19990731;   10;  4.18;  18.78;   23.14;   13.64;    2.15;  30.1;-999;  10.3;-999;    9;   100.3;   52.6;eor
       3591;19990801;19990831;   10;  4.68;  17.21;   21.55;   12.49;    2.25;  28.5;-999;   6.6;-999;    9;    58.5;   21.8;eor
       3591;19990901;19990930;   10;  4.68;  17.00;   21.65;   13.21;    2.38;  30.0;-999;   8.9;-999;    9;    64.1;   16.1;eor
       3591;19991001;19991031;   10;  4.45;   9.34;   12.84;    6.52;    2.74;  19.3;-999;  -0.9;-999;    9;    35.5;   11.9;eor
       3591;19991101;19991130;   10;  5.61;   4.19;    6.53;    1.86;    2.13;  15.8;-999;  -6.0;-999;    9;    50.3;    9.7;eor
       3591;19991201;19991231;   10;  6.27;   2.86;    4.86;    1.11;    2.66;  10.6;-999;  -4.3;-999;    9;   137.6;   21.8;eor
       3591;20000101;20000131;   10;  6.08;   2.38;    4.31;    0.13;    2.23;   9.3;-999;  -9.1;-999;    9;    70.1;   32.7;eor
       3591;20000201;20000229;   10;  5.39;   4.39;    7.56;    1.78;    2.59;  15.0;-999;  -3.4;-999;    9;   108.4;   13.6;eor
       3591;20000301;20000331;   10;  6.29;   5.22;    8.17;    2.46;    2.16;  16.5;-999;  -2.5;-999;    9;    87.4;   17.1;eor
       3591;20000401;20000430;   10;  5.16;   9.75;   14.21;    5.28;    2.04;  22.2;-999;  -2.0;-999;    9;    35.1;    7.1;eor
       3591;20000501;20000531;   10;  5.18;  13.97;   18.33;    9.51;    1.95;  27.5;-999;   3.9;-999;    9;    58.0;   10.3;eor
       3591;20000601;20000630;   10;  4.40;  16.28;   20.76;   11.31;    2.02;  31.4;-999;   4.5;-999;    9;    41.8;   12.5;eor
       3591;20000701;20000731;   10;  6.23;  14.17;   17.64;   11.25;    2.30;  23.7;-999;   7.5;-999;    9;   168.6;   31.6;eor
       3591;20000801;20000831;   10;  4.14;  16.95;   21.55;   12.35;    1.48;  27.6;-999;   8.0;-999;    9;    57.7;   12.7;eor
       3591;20000901;20000930;   10;  5.38;  14.83;   18.92;   11.68;    2.07;  26.6;-999;   7.4;-999;    9;    83.4;   23.7;eor
       3591;20001001;20001031;   10;  5.26;  10.14;   13.20;    7.61;    2.89;  20.2;-999;   2.8;-999;    9;    46.2;    9.8;eor
       3591;20001101;20001130;   10;  5.54;   6.82;    8.90;    4.75;    2.79;  13.9;-999;   2.5;-999;    9;    39.5;    9.7;eor
       3591;20001201;20001231;   10;  5.57;   4.89;    6.99;    3.16;    2.75;  13.0;-999;  -3.0;-999;    9;    47.5;    8.4;eor
       3591;20010101;20010131;   10;  5.16;   2.18;    4.39;   -0.22;    2.55;  10.3;-999;  -8.1;-999;    9;    57.6;   16.9;eor
       3591;20010201;20010228;   10;  5.99;   3.36;    5.99;    0.81;    2.74;  12.5;-999;  -9.5;-999;    9;    79.5;   13.7;eor
       3591;20010301;20010331;   10;  6.42;   5.15;    8.40;    2.48;    2.55;  13.6;-999;  -4.4;-999;    9;    92.4;   17.6;eor
       3591;20010401;20010430;   10;  6.13;   6.92;   10.46;    3.54;    2.73;  19.5;-999;  -4.0;-999;    9;    94.7;   20.5;eor
       3591;20010501;20010531;   10;  4.27;  13.97;   18.43;    8.86;    2.38;  24.2;-999;   2.5;-999;    9;    36.8;   20.1;eor
       3591;20010601;20010630;   10;  5.44;  14.22;   18.59;    9.65;    2.53;  29.1;-999;   3.6;-999;    9;   116.5;   27.8;eor
       3591;20010701;20010731;   10;  4.64;  18.19;   22.10;   13.33;    2.38;  28.4;-999;   8.0;-999;    9;    51.1;   14.2;eor
       3591;20010801;20010831;   10;  4.37;  18.52;   23.69;   13.51;    2.15;  33.4;-999;   8.2;-999;    9;    41.9;   11.7;eor
       3591;20010901;20010930;   10;  6.07;  11.58;   14.78;    8.88;    2.75;  19.5;-999;   3.5;-999;    9;   137.5;   14.4;eor
       3591;20011001;20011031;   10;  4.72;  13.75;   17.41;   11.11;    2.90;  25.2;-999;   5.9;-999;    9;    37.2;    8.3;eor
       3591;20011101;20011130;   10;  5.94;   4.73;    7.10;    2.14;    2.43;  11.9;-999;  -4.4;-999;    9;   107.3;   26.6;eor
       3591;20011201;20011231;   10;  5.86;   1.05;    3.26;   -0.94;    2.77;  11.8;-999;  -9.9;-999;    9;    83.5;   17.0;eor
       3591;20020101;20020131;   10;  4.92;   3.72;    6.15;    1.24;    3.12;  13.0;-999;  -6.6;-999;    9;    87.6;   23.4;eor
       3591;20020201;20020228;   10;  5.47;   5.66;    8.34;    2.97;    3.62;  15.8;-999;  -4.5;-999;    9;   160.8;   23.5;eor
       3591;20020301;20020331;   10;  5.08;   6.12;    9.95;    2.23;    2.63;  16.2;-999;  -3.8;-999;    9;    75.3;   17.4;eor
       3591;20020401;20020430;   10;  4.45;   8.31;   12.22;    3.54;    2.65;  18.3;-999;  -2.6;-999;    9;    48.4;   12.2;eor
       3591;20020501;20020531;   10;  5.56;  13.05;   16.68;    8.44;    2.74;  23.9;-999;   1.4;-999;    9;    64.9;   39.9;eor
       3591;20020601;20020630;   10;  5.17;  17.00;   21.28;   11.68;    2.79;  34.0;-999;   5.6;-999;    9;    28.2;    6.8;eor
       3591;20020701;20020731;   10;  5.58;  16.98;   20.78;   12.89;    2.74;  29.6;-999;   7.3;-999;    9;   153.8;   65.5;eor
       3591;20020801;20020831;   10;  5.98;  17.57;   21.21;   14.05;    2.05;  29.9;-999;  12.0;-999;    9;    66.4;   18.2;eor
       3591;20020901;20020930;   10;  4.84;  12.86;   16.89;    9.07;    2.34;  22.9;-999;   4.8;-999;    9;    21.0;    4.6;eor
       3591;20021001;20021031;   10;  5.95;   9.19;   12.27;    6.41;    2.94;  21.4;-999;   0.9;-999;    9;    88.1;   14.7;eor
       3591;20021101;20021130;   10;  6.36;   7.59;    9.84;    5.55;    2.86;  14.6;-999;   0.0;-999;    9;   103.2;   16.2;eor
       3591;20021201;20021231;   10;  6.03;   3.10;    5.30;    1.14;    2.82;  11.5;-999; -10.0;-999;    9;    59.7;   20.1;eor
       3591;20030101;20030131;   10;  5.99;   0.65;    3.06;   -1.93;    3.08;  11.5;-999; -14.1;-999;    9;    89.6;   20.3;eor
       3591;20030201;20030228;   10;  3.25;   0.88;    4.31;   -2.73;    2.76;  15.0;-999;  -9.3;-999;    9;    41.6;   16.8;eor
       3591;20030301;20030331;   10;  4.19;   6.99;   11.45;    2.99;    2.36;  19.5;-999;  -2.5;-999;    9;    31.5;    9.6;eor
       3591;20030401;20030430;   10;  4.35;   9.02;   13.39;    3.50;    2.73;  23.2;-999;  -6.4;-999;    9;    54.9;   17.1;eor
       3591;20030501;20030531;   10;  4.98;  13.26;   17.15;    8.65;    2.59;  25.9;-999;   0.8;-999;    9;    56.3;    8.5;eor
       3591;20030601;20030630;   10;  4.16;  18.92;   23.86;   12.56;    2.55;  29.5;-999;   5.9;-999;    9;    43.5;   17.7;eor
       3591;20030701;20030731;   10;  4.60;  19.05;   23.67;   13.52;    2.60;  33.5;-999;   9.8;-999;    9;    52.7;   11.0;eor
       3591;20030801;20030831;   10;  3.27;  20.23;   25.29;   13.93;    2.10;  36.4;-999;   8.2;-999;    9;    34.8;   14.8;eor
       3591;20030901;20030930;   10;  3.81;  14.45;   19.69;    9.66;    2.41;  29.9;-999;   3.1;-999;    9;    35.9;   14.4;eor
       3591;20031001;20031031;   10;  5.71;   6.50;    9.90;    3.44;    2.75;  18.5;-999;  -5.2;-999;    9;    86.8;   22.0;eor
       3591;20031101;20031130;   10;  5.11;   7.68;   10.53;    4.92;    2.96;  16.2;-999;  -2.6;-999;    9;    27.5;   11.8;eor
       3591;20031201;20031231;   10;  5.40;   3.05;    5.74;    0.80;    2.98;  13.6;-999;  -5.1;-999;    9;    63.7;   20.9;eor
       3591;20040101;20040131;   10;  6.73;   1.68;    3.62;   -0.66;    3.63;  11.1;-999;  -9.1;-999;    9;   105.2;   30.0;eor
       3591;20040201;20040229;   10;  5.93;   2.99;    5.32;    0.80;    2.96;  16.5;-999;  -6.6;-999;    9;    66.2;   10.5;eor
       3591;20040301;20040331;   10;  5.02;   4.65;    8.30;    1.10;    2.90;  21.5;-999;  -6.8;-999;    9;    40.8;   10.5;eor
       3591;20040401;20040430;   10;  5.40;   9.29;   13.08;    5.27;    2.85;  21.1;-999;  -2.4;-999;    9;    82.2;   25.5;eor
       3591;20040501;20040531;   10;  5.00;  11.33;   15.16;    6.32;    2.35;  22.3;-999;   1.6;-999;    9;    62.3;   33.8;eor
       3591;20040601;20040630;   10;  5.54;  14.73;   19.16;   10.02;    2.76;  29.1;-999;   5.5;-999;    9;    70.0;   14.1;eor
       3591;20040701;20040731;   10;  5.26;  16.21;   20.77;   11.72;    2.72;  28.2;-999;   7.7;-999;    9;    83.7;   20.8;eor
       3591;20040801;20040831;   10;  5.24;  18.09;   22.91;   13.76;    2.75;  30.6;-999;   7.5;-999;    9;    86.5;   14.7;eor
       3591;20040901;20040930;   10;  4.47;  14.54;   18.72;   10.39;    2.77;  25.7;-999;   5.9;-999;    9;    90.1;   36.1;eor
       3591;20041001;20041031;   10;  5.04;  10.80;   14.30;    7.53;    3.10;  21.1;-999;   1.3;-999;    9;    28.5;    7.2;eor
       3591;20041101;20041130;   10;  6.04;   4.77;    7.27;    2.23;    2.43;  13.3;-999;  -3.0;-999;    9;    88.9;   39.8;eor
       3591;20041201;20041231;   10;  5.18;   1.52;    4.19;   -1.30;    2.50;   9.9;-999;  -7.9;-999;    9;    44.6;   16.7;eor
       3591;20050101;20050131;   10;  5.56;   3.20;    5.50;    1.11;    3.62;  12.8;-999;  -7.4;-999;    9;    90.8;   26.9;eor
       3591;20050201;20050228;   10;  6.20;  -0.10;    2.27;   -2.61;    2.88;  10.8;-999; -12.0;-999;    9;    98.8;   29.7;eor
       3591;20050301;20050331;   10;  6.49;   5.76;    8.90;    2.83;    2.95;  18.4;-999; -10.7;-999;    9;    51.3;   19.2;eor
       3591;20050401;20050430;   10;  5.28;   9.23;   13.41;    5.08;    2.68;  19.2;-999;  -0.7;-999;    9;    67.9;   20.6;eor
       3591;20050501;20050531;   10;  5.30;  12.29;   16.82;    7.60;    3.24;  30.5;-999;   0.2;-999;    9;    64.8;   15.1;eor
       3591;20050601;20050630;   10;  5.00;  16.61;   21.51;   10.84;    2.70;  32.7;-999;   3.0;-999;    9;    63.1;   16.1;eor
       3591;20050701;20050731;   10;  4.94;  17.39;   22.20;   13.05;    2.58;  30.8;-999;   7.5;-999;    9;    67.2;   31.2;eor
       3591;20050801;20050831;   10;  4.96;  15.09;   19.48;   10.55;    2.40;  28.2;-999;   7.3;-999;    9;    69.5;   25.4;eor
       3591;20050901;20050930;   10;  4.00;  15.24;   19.90;   10.59;    2.03;  28.6;-999;   2.5;-999;    9;    49.6;   19.0;eor
       3591;20051001;20051031;   10;  3.87;  13.17;   17.15;    9.63;    2.91;  22.3;-999;   3.7;-999;    9;    29.3;   10.7;eor
       3591;20051101;20051130;   10;  5.65;   5.32;    7.59;    2.97;    3.10;  17.0;-999;  -3.7;-999;    9;    44.9;    9.4;eor
       3591;20051201;20051231;   10;  6.50;   2.17;    3.69;    0.40;    3.23;   7.9;-999;  -5.7;-999;    9;    68.2;   15.6;eor
       3591;20060101;20060131;   10;  4.91;  -0.01;    2.65;   -2.69;    2.52;   8.4;-999; -10.7;-999;    9;    20.8;    7.2;eor
       3591;20060201;20060228;   10;  6.80;   0.64;    2.93;   -1.44;    2.79;   9.4;-999;  -7.9;-999;    9;    86.6;   21.4;eor
       3591;20060301;20060331;   10;  5.50;   2.48;    5.66;   -0.52;    3.23;  16.1;-999; -10.5;-999;    9;    83.9;   24.1;eor
       3591;20060401;20060430;   10;  5.82;   7.80;   12.09;    4.10;    2.87;  21.8;-999;  -2.1;-999;    9;    52.1;    6.3;eor
       3591;20060501;20060531;   10;  5.69;  13.08;   17.31;    8.44;    3.42;  24.0;-999;   1.7;-999;    9;   110.0;   16.6;eor
       3591;20060601;20060630;   10;  4.31;  16.26;   21.04;   10.47;    2.57;  29.9;-999;   4.3;-999;    9;    36.6;   15.9;eor
       3591;20060701;20060731;   10;  3.40;  21.96;   27.84;   15.68;    2.23;  34.8;-999;  11.4;-999;    9;    30.7;    9.8;eor
       3591;20060801;20060831;   10;  6.25;  14.75;   18.85;   11.61;    3.03;  23.2;-999;   8.2;-999;    9;   146.8;   27.4;eor
       3591;20060901;20060930;   10;  4.54;  17.55;   22.07;   12.98;    2.30;  27.6;-999;   6.4;-999;    9;    20.0;   14.4;eor
       3591;20061001;20061031;   10;  5.36;  13.37;   17.01;   10.04;    3.13;  22.4;-999;   5.8;-999;    9;    39.7;   10.5;eor
       3591;20061101;20061130;   10;  5.48;   8.20;   10.83;    5.28;    3.47;  16.6;-999;  -1.2;-999;    9;    50.5;   11.8;eor
