Stations_ID;Von_Datum;Bis_Datum;Stationsname;Parameter;Parameterbeschreibung;Einheit;Datenquelle (Strukturversion=SV);Zusatz-Info;Besonderheiten;Literaturhinweis;eor;
5717;19370101;20060831;Wuppertal-Buchenhofen;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
5717;20060901;20111231;Wuppertal-Buchenhofen;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
5717;19370101;20060831;Wuppertal-Buchenhofen;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
5717;20060901;20111231;Wuppertal-Buchenhofen;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
5717;19310101;19361231;Wuppertal-Buchenhofen;MO_RR;Monatssumme der Niederschlagshoehe;mm;Monatswerte (Messnetz=6) ohne Tageswerte;Summe aus Tagessummen;;;eor;
5717;19370101;20060831;Wuppertal-Buchenhofen;MO_RR;Monatssumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Summe aus Tagessummen;;;eor;
5717;20060901;20210331;Wuppertal-Buchenhofen;MO_RR;Monatssumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine nach 01.04.2001 Terminwert und Tagessummen generiert aus SYNOP-Meldung des 06 UTC Termins;Summe aus Tagessummen;;;eor;
5717;19080101;19361231;Wuppertal-Buchenhofen;MO_TN;Monatsmittel des Lufttemperatur Minimums;°C;Monatswerte (Messnetz=4) ohne Tageswerte.;arithm.Mittel aus Tages-Extremen;;;eor;
5717;19370101;20060831;Wuppertal-Buchenhofen;MO_TN;Monatsmittel des Lufttemperatur Minimums;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tages-Extremen;;;eor;
5717;20060901;20210331;Wuppertal-Buchenhofen;MO_TN;Monatsmittel des Lufttemperatur Minimums;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tages-Extremen;;;eor;
5717;19070101;19361231;Wuppertal-Buchenhofen;MO_TT;Monatsmittel der Lufttemperatur in 2m Hoehe;°C;Monatswerte (Messnetz=4) ohne Tageswerte.;arithm.Mittel aus Tagesmittelwerten;;;eor;
5717;19370101;20060831;Wuppertal-Buchenhofen;MO_TT;Monatsmittel der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
5717;20060901;20210331;Wuppertal-Buchenhofen;MO_TT;Monatsmittel der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
5717;19080101;19361231;Wuppertal-Buchenhofen;MO_TX;Monatsmittel des Lufttemperatur Maximums;°C;Monatswerte (Messnetz=4) ohne Tageswerte.;arithm.Mittel aus Tages-Extremen;;;eor;
5717;19370101;20060831;Wuppertal-Buchenhofen;MO_TX;Monatsmittel des Lufttemperatur Maximums;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tages-Extremen;;;eor;
5717;20060901;20210331;Wuppertal-Buchenhofen;MO_TX;Monatsmittel des Lufttemperatur Maximums;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tages-Extremen;;;eor;
5717;19370101;20060831;Wuppertal-Buchenhofen;MX_RS;Maximale Niederschlagshoehe des Monats;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Extrema des Monats;;;eor;
5717;20060901;20210411;Wuppertal-Buchenhofen;MX_RS;Maximale Niederschlagshoehe des Monats;mm;Niederschlagsdaten aus Niederschlagsroutine nach 01.04.2001 Terminwert und Tagessummen generiert aus SYNOP-Meldung des 06 UTC Termins;Extrema des Monats;;;eor;
5717;19370101;20060831;Wuppertal-Buchenhofen;MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Extrema des Monats;;;eor;
5717;20060901;20210411;Wuppertal-Buchenhofen;MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Monats;;;eor;
5717;19370101;20060831;Wuppertal-Buchenhofen;MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Extrema des Monats;;;eor;
5717;20060901;20210411;Wuppertal-Buchenhofen;MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Monats;;;eor;
Legende: FT  = Folgetag; GZ = Gesetzliche Zeit
generiert: 12.04.2021 --  Deutscher Wetterdienst  --
